date,text,author,label,index
"July 27, 2021","Huge default!
We pre-impressions on the urgent need for a third vaccine and Lapid and Bennett were dealing: in Norway, special elections for Abbas and within.
This omission can cost us human lives! ",Benjamin Netanyahu - בנימין נתניהו,FAKE,0
"July 26, 2021","""I want to explain to you about the fraudulent vaccination of the fraud government. This is life-saving information except that I ask you to share this post. The state must wake up.
**
We have already defeated the corona once, brought millions of vaccines before any other country, and were the first in the world to emerge from the corona.
In order for Israel to continue to defeat the corona, another two million vaccines must be brought to Israel, and it is impossible for Israeli citizens over the age of 50 to obtain the third search.
It will save lives, maintain health and maintain an open and prosperous economy.
**
Understand - we have already paid for these vaccines. We bought millions of vaccines. The Israeli ads have millions of vaccines that are now being criticized and the government does not understand it to Israel.
This is an unbelievable omission. When they decide to bring them in, it's time for people to stick to harsh prices, others to die.
You need to bring these searches now and give the third search to the risk groups and the quality structure of the firm.
**
Even if the government wants to wait for more people, there is no reason not to bring the searches right now to save time (long weeks - thousands of sick and dead) and give the vaccines as soon as possible.
**
Instead of giving jobs to Yair Golan and Eli Avidar, instead of bringing a Norwegian flood to the Knesset, the state must do the right thing to make the third search.
Why?
Bring the millions of vaccines - now! """,Benjamin Netanyahu - בנימין נתניהו,FAKE,1
"July 26, 2021",The government is responsible for the failure of vaccines. We bought millions of vaccines that are now sitting in Europe because the government is not bringing them in now. They distribute jobs instead of distributing the third vaccine to Israeli citizens - that is the only way to save lives and keep the economy open. Get the vaccine right away!,Benjamin Netanyahu - בנימין נתניהו,FAKE,2
"July 25, 2021","Likud:
It took only a month and a half for this bad government to erase important achievements we have made over the years and endanger the State of Israel and its citizens.
We took Israel out of the corona for the first time in the world - and they returned the corona to Israel.
We stopped Iran from reaching a nuclear bomb and uncovered Iran's secret nuclear archive - and they agreed to a ""no surprises"" policy with the United States, thereby undermining Israel's independence from the Iranian nuclear program.
Now, according to media reports, they have broken a new record. According to the report, Russia is working to restrict the IDF's freedom of action in the skies of Syria in the face of Iranian targets in the region.
We maintained freedom of action in Syria thanks to the close relations between Netanyahu and Putin, which ensured the security of Israel and its residents. If the report is correct, the failed government has lost another vital strategic asset that Israel enjoyed during the Netanyahu government, thus exposing us to another danger. """,Benjamin Netanyahu - בנימין נתניהו,FAKE,3
"July 28, 2021","The city of Ashdod is getting vaccinated!
The wonderful and performing mayor Yehiel Lasri has now updated me on Ashdod's immunization campaign:
He opened vaccine complexes himself - and it just works.
In four vaccination campaigns, they vaccinated over 4,700 residents (ages 18+).
While vaccinating children aged 12-16 -> they vaccinated another 650 children!
And tonight they are holding vaccination campaigns in two areas - general and ultra-Orthodox.
-
And here is the result:
In Ashdod, vaccinated over the age of 50 - 91%
Ages 16-19 vaccinated and recovering - 89%!
Ages 12-15: Vaccinated and recovering - 38%
Dr. Yechiel Lasri salutes you. You save lives.
Do not take risks - get vaccinated! """,נפתלי בנט - Naftali Bennett,REAL,4
"July 28, 2021","""""do not throw me out when I turn old""
- Yesterday I visited the ""Nofim"" nursing home in Jerusalem, together with the Ministers of Welfare and Social Equality, to take a closer look at the move we are making to protect the elderly and vulnerable from the corona.
I handle this personally and receive a daily report on the subject.
The Israeli government is currently providing the strongest protection in the world to about 120,000 elderly people in geriatric hospitals and nursing homes.
Every Israeli citizen can be proud of this miraculous course.
The rest of the adults in Israel are responsible for being more careful and taking care of themselves: meeting the grandchildren outside, in the open air, with masks.
We all take care of grandpa and grandma! 🇮🇱
Meirav Cohen
Meir Cohen """,נפתלי בנט - Naftali Bennett,FAKE,5
"July 26, 2021","""A good start.
Since I called on Thursday to go out and get vaccinated, the number of vaccinated has doubled compared to the same days the week before.
It's still not enough.
For the freedom and health of us all - go get vaccinated! """,נפתלי בנט - Naftali Bennett,FAKE,6
"July 19, 2021","""Ben & Jerry's decision is a shameful surrender to anti-Semitism. To BDS, to all that is wrong with the anti-Israel and anti-Jewish discourse. We will not keep quiet about them.
More than thirty U.S. states have anti-BDS submission laws passed in recent years. I am going to go one by one and demand that they enforce these laws against Ben & Jerrys because they will not treat us in this way without encountering a response. """,Yair Lapid - יאיר לפיד,REAL,7
"July 15, 2021","""Foreign women
-
The Foreign Ministry's top appointments committee today completed a round of appointments. Out of 27 appointments, there will be 19 women. Some - still not enough - in senior positions.
Next week, a special team will be set up in the office to encourage women to apply for the position of heads of missions abroad.
This is an ongoing and important work of the firm's management and the appointments committee.
I wish the people of the ministry who have been appointed great success in their new and important positions.
Equality begins not only at home, but also outside. """,Yair Lapid - יאיר לפיד,REAL,8
"July 15, 2021","""Congratulations to the IDF,"" after 73 years of existence and many male generals, the Chief of Staff appointed a second champion, Yifat Tomer Yerushalmi.
Now any girl who wants a military career can see that she can be a champion. Because what you can not see is very difficult for you to be.
But you still can not see a champion coming from the field troops, the command broadcaster that starts with the combat units, the spearhead units. And you can not be this champion, because these units are still completely closed to every girl. You still cannot distinguish 8% from the IDF, for the positions from which the rest of the masses of generals grew.
That is why I have been demanding for years from the Minister of Defense and the Chief of Staff that everyone be able to differentiate into any position in the army, that the sorting be done according to skills and abilities and not according to gender and gender. Because there can be no equality in the duty of service but inequality in opportunities. Nor can the IDF waste talented manpower with motivation just because it clings to old chauvinism.
So another IDF champion is great, and we wish all the success to the Yifat Tomer Yerushalmi cell, and wish ourselves and the chief of staff Aviv Kochavi and Defense Minister Gantz to join the present, where women are human beings. ""When they are pinched, it hurts and when it rains, they get wet and when they are able to do the task, they will pass the tests, just let them notice already.""",Merav Michaeli מרב מיכאלי,REAL,9
