date,page/account,is_comment,text,binary label,explanation,comments,link
24/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,לא הייה חיסון לקורונה וגם לא יהייה.... שטויות במיץ,0,,,
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,ה Mrna גורם לתא בתוך השריר לייצר חלבון ספייק של קורונה ואז הגוף מייצר נוגדנים כלפי החלבון קורונה בגלל זה החיסון לא עובד טוב על כולם כי לא לכולם המערכת החיסונית עובדת כמו שצריך,1,,לבדוק,
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,זה לא חיסון אלא תכשיר נסיוני שלא מגן בכלום הכול עבודה בעניים כי חיסון חייב לעבור ניסויים כ10 שנים ולא כול 3 חודשים יוצא יענו חיסון חדש,0,,מתאים?,
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,זה לא חיסון הנגיף מעולם לא בודד הבדיקות שקריות אין קשר למיגור מגיפה הכל שקרים Wake up,0,,,
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,מעניין באמת. גם לדעתי יש קשר בן הסוג דם והנוגדנים שהוא מייצר בזמן מחלה או חיסון,1,,מתאים?,
25/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,no,למישהו יש מידע לגביי חולים קשה או מתים בנוגע מקורונה לסוג דם O או פלוס או מינוס סה נתון שלא מספרים לנו ייתכן שהם לא בסכנהנכמו ab ?,,,מתאים? ולבדוק,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"יש לך בעיה רצינית בהבנת הנושא - החיסון ( לא ניסוי לא ניסוי ) עבר בדיקות מחמירות של רשות הבריאות האמריקאית , וסתם קצת השכלה יא דבע - זאת הרשות הכי מחמירה בבדיקות של חיסונים ותרופות . אל לך תלמד קצת אהבל !! ליפני שאתה מביע דיעות ללא שום בסיס מדעי",1,,לבדוק,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,הניסוי ( חיסון ) יכול לגרום לדלקת בשריר הלב ! ( לפי fda ופייזר ),0,,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,הייתי עד לעדויות של אנשים שאני מכיר שמספרים שיקיריהם מתו לאחר החיסון הניסיוני ! אני עד לעדיות של קרובי משפחה שיש להם בעיות נרולוגיות ושיתוק לאחר ההזרקה . ,0,עדות לעדויות זה מידע שעבר בין כמה גורמים וכנראה בגלגול הנוכחי שלו אינו מהימן,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,אזרחי מדינת ישראל משמשים לשפני ניסיון בתכשירים המוזרקים של פייזר .,0,"כן פייזר אוספים מידע על המתחסנים, אבל הניסוח מטעה",,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,שי עדיות של מחוסנים שנידבקים לאחר ההזרקת החומר של פייזר וחולים קשה ואף מתים לאחר מכן .,1,,טיפה ערכנו את הטענה כדי שתהיה נכונה,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/
