date,page/account,is_comment,text,binary label,explanation,comments,link,clean_text,lemmatized
24/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,לא הייה חיסון לקורונה וגם לא יהייה.... שטויות במיץ,0.0,,,,לא הייה חיסון לקורונה וגם לא יהייה שטויות במיץ,"['לא', 'היה', 'חיסון', 'קורונה', 'גם', 'לא', 'יהייה', 'שטות', 'מיץ']"
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,ה Mrna גורם לתא בתוך השריר לייצר חלבון ספייק של קורונה ואז הגוף מייצר נוגדנים כלפי החלבון קורונה בגלל זה החיסון לא עובד טוב על כולם כי לא לכולם המערכת החיסונית עובדת כמו שצריך,1.0,,לבדוק,,ה מרנא גורם לתא בתוך השריר לייצר חלבון ספייק של קורונה ואז הגוף מייצר נוגדנים כלפי החלבון קורונה בגלל זה החיסון לא עובד טוב על כולם כי לא לכולם המערכת החיסונית עובדת כמו שצריך,"['מרנא', 'גרם', 'תא', 'בתוך', 'שריר', 'ייצר', 'חלבון', 'ספייק', 'של', 'קורונה', 'אז', 'גוף', 'ייצר', 'נוגדן', 'כלפי', 'חלבון', 'קורונה', 'בגלל', 'זה', 'חיסון', 'לא', 'עובד', 'טוב', 'על', 'כולם', 'כי', 'לא', 'כול', 'מערכת', 'חיסוני', 'עבד', 'כמו', 'צריך']"
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,זה לא חיסון אלא תכשיר נסיוני שלא מגן בכלום הכול עבודה בעניים כי חיסון חייב לעבור ניסויים כ10 שנים ולא כול 3 חודשים יוצא יענו חיסון חדש,0.0,,מתאים?,,זה לא חיסון אלא תכשיר נסיוני שלא מגן בכלום הכול עבודה בעניים כי חיסון חייב לעבור ניסויים כ10 שנים ולא כול 3 חודשים יוצא יענו חיסון חדש,"['זה', 'לא', 'חיסון', 'אלא', 'תכשיר', 'ניסיון', 'לא', 'מיגן', 'כלום', 'כול', 'עבודה', 'עני', 'כי', 'חיסון', 'חייב', 'עבר', 'ניסוי', '10', 'שנה', 'לא', 'כול', 'חודש', 'יצא', 'עינה', 'חיסון', 'חדש']"
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,זה לא חיסון הנגיף מעולם לא בודד הבדיקות שקריות אין קשר למיגור מגיפה הכל שקרים Wake up,0.0,,,,זה לא חיסון הנגיף מעולם לא בודד הבדיקות שקריות אין קשר למיגור מגיפה הכל שקרים wake up,"['זה', 'לא', 'חיסון', 'נגיף', 'מעולם', 'לא', 'בודד', 'בדיקה', 'שקרי', 'אין', 'קשר', 'מיגור', 'הגיף', 'כול', 'שקר']"
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,מעניין באמת. גם לדעתי יש קשר בן הסוג דם והנוגדנים שהוא מייצר בזמן מחלה או חיסון,1.0,,מתאים?,,מעניין באמת גם לדעתי יש קשר בן הסוג דם והנוגדנים שהוא מייצר בזמן מחלה או חיסון,"['עניין', 'אמת', 'גם', 'דעה', 'יש', 'קשר', 'בן', 'סוג', 'דם', 'נוגדן', 'הוא', 'ייצר', 'זמן', 'מחלה', 'או', 'חיסון']"
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"יש לך בעיה רצינית בהבנת הנושא - החיסון ( לא ניסוי לא ניסוי ) עבר בדיקות מחמירות של רשות הבריאות האמריקאית , וסתם קצת השכלה יא דבע - זאת הרשות הכי מחמירה בבדיקות של חיסונים ותרופות . אל לך תלמד קצת אהבל !! ליפני שאתה מביע דיעות ללא שום בסיס מדעי",1.0,,לבדוק,,יש לך בעיה רצינית בהבנת הנושא  החיסון  לא ניסוי לא ניסוי  עבר בדיקות מחמירות של רשות הבריאות האמריקאית  וסתם קצת השכלה יא דבע  זאת הרשות הכי מחמירה בבדיקות של חיסונים ותרופות  אל לך תלמד קצת אהבל  ליפני שאתה מביע דיעות ללא שום בסיס מדעי,"['יש', 'אתה', 'בעיה', 'רציני', 'הבנה', 'נושא', 'חיסון', 'לא', 'ניסוי', 'לא', 'ניסוי', 'עבר', 'בדיקה', 'מחמיר', 'של', 'רשות', 'בריאות', 'אמריקני', 'סתם', 'קצת', 'השכלה', 'יא', 'דבע', 'זאת', 'רשות', 'כי', 'מחמיר', 'בדיקה', 'של', 'חיסון', 'תרופה', 'אל', 'לימד', 'קצת', 'אהבל', 'יפני', 'הוא', 'הביע', 'דעה', 'ללא', 'שום', 'בסיס', 'מדעי']"
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,הניסוי ( חיסון ) יכול לגרום לדלקת בשריר הלב ! ( לפי fda ופייזר ),0.0,,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,הניסוי  חיסון  יכול לגרום לדלקת בשריר הלב   לפי פדא ופייזר ,"['ניסוי', 'חיסון', 'יכול', 'גרם', 'דלקת', 'שריר', 'לב', 'לפי', 'פדא', 'פייזר']"
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,הייתי עד לעדויות של אנשים שאני מכיר שמספרים שיקיריהם מתו לאחר החיסון הניסיוני ! אני עד לעדיות של קרובי משפחה שיש להם בעיות נרולוגיות ושיתוק לאחר ההזרקה . ,0.0,עדות לעדויות זה מידע שעבר בין כמה גורמים וכנראה בגלגול הנוכחי שלו אינו מהימן,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,הייתי עד לעדויות של אנשים שאני מכיר שמספרים שיקיריהם מתו לאחר החיסון הניסיוני  אני עד לעדיות של קרובי משפחה שיש להם בעיות נרולוגיות ושיתוק לאחר ההזרקה ,"['היה', 'עד', 'עדות', 'של', 'איש', 'הוא', 'הכיר', 'מספר', 'יקיר', 'מת', 'לאחר', 'חיסון', 'ניסיוני', 'הוא', 'עד', 'עדיות', 'של', 'קרוב', 'משפחה', 'יש', 'הם', 'בעיה', 'נרולוגיות', 'שיתוק', 'לאחר', 'הזרקה']"
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,אזרחי מדינת ישראל משמשים לשפני ניסיון בתכשירים המוזרקים של פייזר .,0.0,"כן פייזר אוספים מידע על המתחסנים, אבל הניסוח מטעה",,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,אזרחי מדינת ישראל משמשים לשפני ניסיון בתכשירים המוזרקים של פייזר ,"['אזרח', 'מדינה', 'ישראל', 'שימש', 'שפן', 'ניסיון', 'תכשיר', 'הוזרק', 'של', 'פייזר']"
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,שי עדיות של מחוסנים שנידבקים לאחר ההזרקת החומר של פייזר וחולים קשה ואף מתים לאחר מכן .,1.0,,טיפה ערכנו את הטענה כדי שתהיה נכונה,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,שי עדיות של מחוסנים שנידבקים לאחר ההזרקת החומר של פייזר וחולים קשה ואף מתים לאחר מכן ,"['שי', 'עדיות', 'של', 'מחוסן', 'נדבק', 'לאחר', 'הזרקה', 'חומר', 'של', 'פייזר', 'חלה', 'קשה', 'אף', 'מת', 'לאחר', 'כן']"
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,גם אם 100% יהיו מוזרקים לא יכול להיות חיסון עדר / כל חצי שנה צריך לחדש חיסון . אז שכל אחד יעשה את השיקול שלו .,1.0,,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,גם אם 100 יהיו מוזרקים לא יכול להיות חיסון עדר  כל חצי שנה צריך לחדש חיסון  אז שכל אחד יעשה את השיקול שלו ,"['גם', 'אם', '100', 'היה', 'הוזרק', 'לא', 'יכול', 'היה', 'חיסון', 'עדר', 'כול', 'חץ', 'שנה', 'צריך', 'חידש', 'חיסון', 'אז', 'כול', 'אחד', 'נעשה', 'את', 'שיקול', 'של', 'הוא']"
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"נראה לך שהרופאים יתנו תשובה אמתית???? ממש לא, הם מקבלים הוראות מלמעלה, גם אם הרופא ישר הוא חושש על מקום העבודה",0.0,,תיקנו שגיאת הקלדה,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,נראה לך שהרופאים יתנו תשובה אמתית ממש לא הם מקבלים הוראות מלמעלה גם אם הרופא ישר הוא חושש על מקום העבודה,"['נראה', 'אתה', 'רופא', 'תינה', 'תשובה', 'אמתית', 'ממש', 'לא', 'הוא', 'קיבל', 'הוראה', 'למעלה', 'גם', 'אם', 'רופא', 'יישר', 'הוא', 'חשש', 'על', 'מקום', 'עבודה']"
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"אם את רוצה לתרום את גופך למדע אז תתחסני, אם את פחות בעניין של ניסויים אל תתחסני. אין עדיין מידע לגבי החיסון השלישי לכן לא יעזור לשאול.",0.0,,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,אם את רוצה לתרום את גופך למדע אז תתחסני אם את פחות בעניין של ניסויים אל תתחסני אין עדיין מידע לגבי החיסון השלישי לכן לא יעזור לשאול,"['אם', 'הוא', 'רצה', 'תרם', 'את', 'גוף', 'מדע', 'אז', 'התחסן', 'אם', 'את', 'פחות', 'עניין', 'של', 'ניסוי', 'אל', 'התחסן', 'אין', 'עדיין', 'מידע', 'לגבי', 'חיסון', 'שלישי', 'כן', 'לא', 'עזר', 'שאל']"
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"לפי מחקר קליני על ניתוחי גופות בסמוך לקבלת הזריקה, הנתונים לא מעודדים לקבל זריקה כלשהי הספייק חוצה את מחסום הדם-מוח, מגיע לאיברים שיש בהם את קולטן ה-ACE2 הוא מראה במצגת איך נראים איברים עם דלקת שנגרמה לאחר הזריקה.",0.0,,לבדוק. הוסיפ מקור: https://sites.google.com/view/itistimetorisup/%D7%94%D7%97%D7%99%D7%A1%D7%95%D7%9F-%D7%90%D7%A9%D7%9D-%D7%91%D7%AA%D7%95%D7%A4%D7%A2%D7%95%D7%AA-%D7%94%D7%9C%D7%95%D7%95%D7%90%D7%99-%D7%95%D7%94%D7%9E%D7%95%D7%95%D7%AA-%D7%A2%D7%93-%D7%A9%D7%99%D7%95%D7%9B%D7%97-%D7%90%D7%97%D7%A8%D7%AA-%D7%93%D7%A8-%D7%A8%D7%99%D7%90%D7%9F-%D7%A7%D7%95%D7%9C?authuser=0&fbclid=IwAR3mGUAsGFQdHZW7mNgKO8MQD1qtr133AfO7Qq9uycVtbbRbshaNu29E_-M,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,לפי מחקר קליני על ניתוחי גופות בסמוך לקבלת הזריקה הנתונים לא מעודדים לקבל זריקה כלשהי הספייק חוצה את מחסום הדםמוח מגיע לאיברים שיש בהם את קולטן הace2 הוא מראה במצגת איך נראים איברים עם דלקת שנגרמה לאחר הזריקה,"['לפי', 'מחקר', 'קליני', 'על', 'ניתוח', 'גופה', 'סמך', 'קבלה', 'זריקה', 'נתון', 'לא', 'עודד', 'קיבל', 'זריקה', 'כלשהו', 'ספייק', 'חצה', 'את', 'מחסום', 'דםמוח', 'הגיע', 'איבר', 'יש', 'הוא', 'את', 'קולט', 'הוא', 'הראה', 'את', 'היא', 'מצגת', 'איך', 'נראה', 'איבר', 'עם', 'דלקת', 'נגרם', 'לאחר', 'זריקה']"
