date,text,author,label,index
"July 27, 2021","מחדל ענק! 
אנחנו התרענו מראש על הצורך הדחוף בחיסון שלישי ולפיד ובנט היו עוסקים: בנורווגי, שוחד בחירות לעבאס ובתוכים. 
המחדל הזה יכול לעלות לנו בחיי אדם!",Benjamin Netanyahu - בנימין נתניהו,FAKE,0
"July 26, 2021","אני רוצה להסביר לכם על מחדל החיסונים של ממשלת ההונאה. זה מידע מציל חיים ולכן אני מבקש מכם לשתף את הפוסט הזה. הממשלה חייבת להתעורר.
**
אנחנו כבר ניצחנו את הקורונה פעם אחת, הבאנו מיליוני חיסונים לפני כל מדינה אחרת, ויצאנו ראשונים בעולם מהקורונה. 
כדי שישראל תמשיך לנצח את הקורונה צריך להביא מייד עוד 2 מיליון חיסונים למדינת ישראל ולאפשר לאזרחי ישראל מעל גיל 50 לקבל את החיסון השלישי. 
זה יציל חיים, ישמור על הבריאות וישמור על הכלכלה פתוחה ומשגשגת. 
**
תבינו — אנחנו כבר שילמנו בשביל החיסונים הללו. קנינו מיליוני חיסונים. למדינת ישראל יש מיליוני חיסונים שיושבים עכשיו באירופה והממשלה לא מביאה אותה לישראל. 
זה מחדל לא יאומן. כשיחליטו להביא אותם זה יקח זמן ועד אז אנשים יידבקו במחלות קשות, אחרים ימותו. 
צריך להביא את החיסונים הללו עכשיו ולתת את החיסון השלישי לקבוצות הסיכון ולאוכלוסייה המבוגרת. 
**
גם אם הממשלה רוצה לחכות לעוד אישורים, אין סיבה לא להביא את החיסונים כבר עכשיו כדי לחסוך זמן (שבועות ארוכים - אלפי חולים ומתים) ולתת את החיסונים מיידית כשאפשר. 
**
במקום לתת ג׳ובים ליאיר גולן ואלי אבידר, במקום להביא שיטפון נורבגי לכנסת, הממשלה חייבת לעשות את הדבר הנכון ולהביא את החיסון השלישי. 
למה הם מחכים למען השם? 
תביאו את מיליוני החיסונים — עכשיו!",Benjamin Netanyahu - בנימין נתניהו,FAKE,1
"July 26, 2021",הממשלה אחראית למחדל החיסונים. אנחנו קנינו מיליוני חיסונים שיושבים עכשיו באירופה כי הממשלה לא מביאה אותם עכשיו. הם מחלקים ג׳ובים במקום לחלק את החיסון השלישי לאזרחי ישראל — זאת הדרך היחידה להציל חיים ולשמור על הכלכלה פתוחה. תביאו את החיסון מייד!,Benjamin Netanyahu - בנימין נתניהו,FAKE,2
"July 25, 2021","הליכוד: 
חודש וחצי בלבד לקח לממשלה הרעה הזאת למחוק הישגים חשובים שהבאנו לאורך שנים ולהעמיד בסכנה את מדינת ישראל ואזרחיה. 
אנחנו הוצאנו את ישראל ראשונה בעולם מהקורונה - והם החזירו את הקורונה לישראל. 
אנחנו בלמנו את איראן מלהגיע לפצצה גרעינית וחשפנו את ארכיון הגרעין הסודי של איראן - והם הסכימו למדיניות ״אין הפתעות״ מול ארה״ב ובכך פגעו בעצמאות הפעולה של ישראל נגד תוכנית הגרעין האיראנית.
כעת, לפי דיווחים בתקשורת, הם שברו שיא חדש. לפי הדיווח רוסיה פועלת להגביל את חופש הפעולה של צה״ל בשמי סוריה מול מטרות איראניות באזור. 
אנחנו שמרנו על חופש הפעולה בסוריה בזכות היחסים הקרובים בין נתניהו ופוטין, דבר שהבטיח את ביטחונה של ישראל ותושביה. אם הדיווח נכון, הממשלה הכושלת איבדה עוד נכס אסטרטגי חיוני שישראל נהנתה ממנו בזמן ממשלת נתניהו, ובכך היא חושפת אותנו לסכנה נוספת.",Benjamin Netanyahu - בנימין נתניהו,FAKE,3
"July 28, 2021","העיר אשדוד מתחסנת!
ראש העיר הביצועיסט והנפלא יחיאל לסרי עדכן אותי עכשיו במבצע ההתחסנות של אשדוד: 
הוא פתח מתחמי חיסונים בעצמו – וזה פשוט עובד.  
בארבעה מבצעי חיסונים הם חיסנו מעל 4,700 תושבים (גילאי 18+). 
בעוד מבצע חיסונים לילדים בגילאי 12-16 -> הם חיסנו עוד 650 ילדים!
והערב הם מקיימים מבצעי חיסון בשני מתחמים – כללי וחרדי. 
--
והנה התוצאה:
באשדוד מחוסנים מעל גיל 50 – 91% 
גילאים 16-19 מחוסנים ומחלימים - 89%  ! 
גילאים 12-15: מחוסנים ומחלימים - 38% 
מצדיע לך ד""ר יחיאל לסרי. אתה מציל חיי אדם. 
אל תסתכנו – תתחסנו!",נפתלי בנט - Naftali Bennett,REAL,4
"July 28, 2021","״אל תשליכני לעת זיקנה״
- ביקרתי אתמול בבית אבות ""נופים"" בירושלים, יחד עם שרי הרווחה והשיוויון החברתי, לעמוד מקרוב על המהלך שאנו עושים לשמירה על הזקנים והפגיעים מהקורונה. 
אני מטפל בכך אישית ומקבל דיווח יומי בנושא. 
ממשלת ישראל מעניקה בימים אלו את ההגנה החזקה בעולם לכ-120,000 קשישים בבתי חולים גריאטרים ובבתי אבות.
כל אזרח ישראלי יכול להתגאות במהלך המופלא הזה.
שאר המבוגרים בישראל אחראים להתנהל ביתר זהירות ולשמור על עצמם: לפגוש את הנכדים בחוץ, באוויר הפתוח, עם מסיכות. 
כולנו שומרים על סבא ועל סבתא!🇮🇱
מירב כהן - Meirav Cohen
מאיר כהן - Meir Cohen",נפתלי בנט - Naftali Bennett,FAKE,5
"July 26, 2021","התחלה טובה.
מאז  קריאתי ביום חמישי לצאת ולהתחסן, כמות המתחסנים הוכפלה לעומת הימים הזהים בשבוע שלפני.
זה עדיין  לא מספיק.
בשביל החופש והבריאות של כולנו - לכו להתחסן!",נפתלי בנט - Naftali Bennett,FAKE,6
"July 19, 2021","ההחלטה של בן אנד ג'ריס היא כניעה מבישה לאנטישמיות. ל-BDS, לכל מה שרע בשיח האנטי ישראלי והאנטי יהודי. אנחנו לא נשתוק להם. 
ליותר משלושים מדינות בארה""ב יש חוקים נגד כניעה ל-BDS שעברו בשנים האחרונות. אני מתכונן ללכת אחת אחת ולדרוש מהן להפעיל את החוקים האלה נגד בן אנד ג'ריס מפני שהם לא יתייחסו אלינו בצורה כזאת בלי להיתקל במענה.",Yair Lapid - יאיר לפיד,REAL,7
"July 15, 2021","נשות החוץ 
—
ועדת המינויים העליונה של משרד החוץ סיימה היום סבב מינויים. מתוך 27 מינויים, יהיו 19 נשים. חלקן - עדיין לא מספיק - בתפקידים בכירים. 
בשבוע הבא יוקם במשרד צוות מיוחד שיעסוק בעידוד נשים להגיש מועמדות לתפקיד ראשי נציגויות בחו""ל. 
זו עבודה מתמשכת וחשובה של הנהלת המשרד ושל ועדת המינויים. 
מאחל לאנשי המשרד שהתמנו הצלחה רבה בתפקידיהם החדשים והחשובים. 
השיוויון מתחיל לא רק בבית, אלא גם בחוץ.",Yair Lapid - יאיר לפיד,REAL,8
"July 15, 2021","ברכות לצה""ל, אחרי 73 שנות קיומו והמון אלופים גברים, הרמטכ""ל מינה אלופה שניה, יפעת תומר ירושלמי. שהחיינו. 
עכשיו כל ילדה ונערה שרוצה דווקא קריירה צבאית תוכל לראות שהיא יכולה להיות אלופה. כי מה שאת לא יכולה לראות קשה לך מאד להיות. 
אבל את עדיין לא יכולה לראות אלופה שבאה מחילות השדה, משדרת הפיקוד שמתחילה ביחידות הלוחמות, יחידות חוד החנית. ואת לא יכולה להיות האלופה הזאת, כי היחידות האלה עדיין סגורות לגמרי בפני כל נערה. את עדיין לא יכולה להבחן ל8% מצה""ל, לתפקידים שמהם צמחו שאר המוני האלופים.
לכן אני דורשת כבר שנים משר הביטחון ומהרמטכ""ל, שכל אחת ואחד יוכלו להתמיין לכל תפקיד בצבא, שהמיון יעשה לפי כישורים ויכולות ולא לפי מין ומגדר. כי לא יכול להיות שיהיה שוויון בחובת השירות אבל אי שוויון בהזדמנויות. וגם לא יכול להיות שצה""ל יבזבז כח אדם מוכשר עם מוטיבציה רק בגלל שהוא נצמד לשוביניזם ישן.
אז אלופה נוספת בצה""ל זה נהדר, ואנחנו מאחלות את כל ההצלחה לתא""ל יפעת תומר ירושלמי, ומאחלות לעצמנו ולרמטכ""ל אביב כוכבי ולשר הבטחון גנץ שיצטרפו להווה, שבו נשים הן בני אדם. שכשצובטים אותן כואב להן וכשיורד עליהן גשם הן נרטבות וכשהן מסוגלות למשימה הן יעברו את המבדקים רק תנו להן להבחן כבר.",Merav Michaeli מרב מיכאלי,REAL,9
