person,job,label,theme,text,date
שלמה קרעי,חבר כנסת הליכוד,4,על כוונות הקואליציה החדשה,"הם מחוקקים חוק בקווי היסוד שלהם בהסכמים הקואליציונים שלא רק להגביל את הכהונה שלו כראש ממשלה, שהוא לא יוכל בכלל להתמודד בכנסת",2021-06-14
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",3,"על הצטרפות רע""ם לקואליציה",זאת פעם ראשונה שמפלגה ערבית שותפה להקמת ממשלה,2021-06-02
ינון אזולאי,"חבר כנסת ש""ס",4,על חלוקת התפקידים בקואליציה,אני עדיין לא ראיתי ממשלה ששניים מאותה מפלגה לוקחים גם את ועדת כספים וגם את משרד האוצר,2021-05-25
מוחמד ברכה,"יו""ר ועדת המעקב של ערביי ישראל",5,על פגיעה בבתי כנסת בלוד,לא הייתה פגיעה בשום בית כנסת בלוד,2021-05-25
מירב בן-ארי,חברת כנסת יש עתיד,5,על הכוונה לחסן בני נוער,"רוצים לחסן ילדים על-סמך ניסוי שנוסה על 2,200 ילדים. אין הצדקה אפידמיולוגית קלינית לחסן ילדים וידוע שהם לא מדביקים",2021-05-23
אלי כהן,שר המודיעין הליכוד,4,על גידול האוכלוסייה בעוטף עזה,במהלך העשור האחרון עוטף עזה הפך לאזור פורח עם כמעט הכפלה של האוכלוסייה שנמצאת שם,2021-05-18
מירי רגב,שרת התחבורה הליכוד,2,על הכספים הקטאריים לחמאס,"הכסף הזה עבר בתקופתו של ליברמן, בתקופתו של בוגי",2021-05-17
עיסאווי פריג',חבר כנסת מרצ,2,על עליית יהודים להר הבית,בסטטוס קוו שהיה עד שנת 2000 מבקרים יהודים יכולים לעלות להר הבית,2021-05-10
אבי דיכטר,חבר כנסת הליכוד,0,על השקפת העולם של מרצ,מרצ דרשה להחליף את המנון התקווה באינטרנציונל,2021-05-06
שמחה רוטמן,חבר כנסת הציונות הדתית,1,"על האפשרות להקים ממשלה בתמיכת רע""ם",ממשלת מיעוט מעולם לא קמה במדינת ישראל,2021-05-03
אמילי מואטי,חברת כנסת העבודה,1,על התגובה לביטול משפטו של רוצח שרה אלימי בצרפת,"לפי החוק הישראלי, אזרח ישראלי יכול לפנות לבימש על עבירה [בחול] על רקע אנטישמי",2021-04-23
מרב מיכאלי,"יו""ר העבודה העבודה",1,על הרצל וזכויות נשים,"מחזון הרצל למדינת היהודים נעדרת המילה שוויון, ונשים מוזכרות רק בהקשרי הריון ולידה או כדבר שיש 'לתת ולקחת' למען האומה",2021-04-21
בנימין נתניהו,ראש הממשלה הליכוד,5,על הפתרון שלו לפלונטר הפוליטי,"הציבור יחליט מי ירכיב את הממשלה, ולאחר מכן אפשר יהיה להפיל אותה באי-אמון קונסטרוקטיבי. עושים את זה בהרבה מדינות, כולל אירופה",2021-04-20
אלעזר שטרן,חבר כנסת יש עתיד,4,"על הטיפול של אגף השיקום בנכי צה""ל","כמות נכי צהל הולכת וגדלה עם השנים, למרות שהמלחמות הולכות ופוחתות",2021-04-18
מירב בן-ארי,חברת כנסת יש עתיד,1,על זהות יושבי ראש הכנסת לדורותיהם,עד היום בכל ה-70 שנה הייתה יושבת ראש [כנסת] אחת,2021-04-17
שרן השכל,חברת כנסת תקווה חדשה,2,על הבקשה שלא תיכנס למליאת הכנסת עם תינוקת,אכן התבקשתי לצאת מהמליאה. בפרוטוקול אסור להכניס תינוקות למליאת הכנסת,2021-04-07
