person,job,label,theme,text,date,lemmatized_text
שלמה קרעי,חבר כנסת הליכוד,4,על כוונות הקואליציה החדשה,"הם מחוקקים חוק בקווי היסוד שלהם בהסכמים הקואליציונים שלא רק להגביל את הכהונה שלו כראש ממשלה, שהוא לא יוכל בכלל להתמודד בכנסת",2021-06-14,"הוא חוקק חוק ב קו ה יסוד של הם ב ה הסכם ה קואליציונים ש לא רק הגביל את ה כהונה של הוא כ ראש מ משל , ש הוא לא יכול בכלל התמודד ב ה כנסת"
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",3,"על הצטרפות רע""ם לקואליציה",זאת פעם ראשונה שמפלגה ערבית שותפה להקמת ממשלה,2021-06-02,זאת פעם ראשון ש מפלגה ערבי שותף ל הקמה ממשלה
ינון אזולאי,"חבר כנסת ש""ס",4,על חלוקת התפקידים בקואליציה,אני עדיין לא ראיתי ממשלה ששניים מאותה מפלגה לוקחים גם את ועדת כספים וגם את משרד האוצר,2021-05-25,הוא עדיין לא ראה מ משל ש שני מ את היא מפלגה לקח גם את ועדה כסף ו גם את משרד ה אוצר
מוחמד ברכה,"יו""ר ועדת המעקב של ערביי ישראל",5,על פגיעה בבתי כנסת בלוד,לא הייתה פגיעה בשום בית כנסת בלוד,2021-05-25,לא היה פגיעה ב שום בית כ נס ב ה לוד
מירב בן-ארי,חברת כנסת יש עתיד,5,על הכוונה לחסן בני נוער,"רוצים לחסן ילדים על-סמך ניסוי שנוסה על 2,200 ילדים. אין הצדקה אפידמיולוגית קלינית לחסן ילדים וידוע שהם לא מדביקים",2021-05-23,"רצה חיסן ילד על סמך ניסוי ש נוסה על 2,200 ילד . אין ה צדקה אפידמיולוגיה קליני חיסן ילד ו ידוע ש הוא לא הדביק"
אלי כהן,שר המודיעין הליכוד,4,על גידול האוכלוסייה בעוטף עזה,במהלך העשור האחרון עוטף עזה הפך לאזור פורח עם כמעט הכפלה של האוכלוסייה שנמצאת שם,2021-05-18,ב מהלך ה עשור ה אחרון עטף עז הפך ל אזור פורח עם כמעט הכפלה של ה אוכלוסייה ש נמצא שם
מירי רגב,שרת התחבורה הליכוד,2,על הכספים הקטאריים לחמאס,"הכסף הזה עבר בתקופתו של ליברמן, בתקופתו של בוגי",2021-05-17,"ה כסף ה זה עבר ב תקופה של ליברמן , ב תקופה של בוגי"
עיסאווי פריג',חבר כנסת מרצ,2,על עליית יהודים להר הבית,בסטטוס קוו שהיה עד שנת 2000 מבקרים יהודים יכולים לעלות להר הבית,2021-05-10,ב ה סטטוס קיווה שהייה עד שנה 2000 מבקר יהודי יכול עלה ל הר ה בית
אבי דיכטר,חבר כנסת הליכוד,0,על השקפת העולם של מרצ,מרצ דרשה להחליף את המנון התקווה באינטרנציונל,2021-05-06,מרצ דרש החליף את המנון ה תקווה ב אינטרנציונל
שמחה רוטמן,חבר כנסת הציונות הדתית,1,"על האפשרות להקים ממשלה בתמיכת רע""ם",ממשלת מיעוט מעולם לא קמה במדינת ישראל,2021-05-03,ממשלה מיעוט מעולם לא קם ב מדינה ישראל
אמילי מואטי,חברת כנסת העבודה,1,על התגובה לביטול משפטו של רוצח שרה אלימי בצרפת,"לפי החוק הישראלי, אזרח ישראלי יכול לפנות לבימש על עבירה [בחול] על רקע אנטישמי",2021-04-23,"לפי ה חוק ה ישראלי , איזרח ישראלי יכול פינה ל בימש על עבירה ב חול על רקע אנטישמי"
מרב מיכאלי,"יו""ר העבודה העבודה",1,על הרצל וזכויות נשים,"מחזון הרצל למדינת היהודים נעדרת המילה שוויון, ונשים מוזכרות רק בהקשרי הריון ולידה או כדבר שיש 'לתת ולקחת' למען האומה",2021-04-21,"מ חזון הרצל ל מדינה ה יהודי נעדר ה מילה שוויון , ו איש הוזכר רק ב הקשר הריון ו לידה או כ ה דבר ש יש נתן ו לקח למען ה אומה"
