date,page,is_comment,text,binary label,comment
18/09/2021,?????? ?????? ??????? ????? ???? ???,no,????? ????? ??fda ?? ????? ?? ??? ????? ?????? ??????? ?? ???? ????! ?? ??? ?????? ???? ??? ?????? ????? ??? ??? ????? ???????? ????? ????? ????? ????? ??? ?? ??? ????? ???? ?? ?????? ??? ?????? ?? ??? ??? ?????? ?????? ?? ?????? ??? ????? ??? 16 ??????,,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"????? ??? ????? ??? ???? ????? ???? ?? ??????? ??? ????? ???? ??????? ????, ?????? ?? ?????? ????? ????. ????""? ?? ???? ???? ??????? ???? ?????? ???? ???? ????? 5 ??????, ???? ?????????? ?? ?? ????????? ?? ????? ????""? ?????. ???? ?????? ?????.",1,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"?????? ?????? ?? ???? ?????? ???? ??????!! ?????? ?? ???? ???? ?? ??????? ??? ?? ???? ????!!! ?? ????? ?? ?? ??????? ??? ???? ????? ????? ????? ??????? ??? ?? ????? ????? ?????!!! ???? ??????!!!
????? ????? ?????? ??? ????? ?????? ?????? ????? ?? ?? ??? ?????? ??? ???? ?? ???? ???????!! ???? ??? ????? - ?????!!! ?? ?? ???? ????? ????? ??!! ?? ????? ?? ??? ? FDA ???????? ?? ?? ????!! ?????? ?? ????? ??? ?? ????? ??????? ????!! ???? ???????",0,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"????? ???? ???????. ?? ??? ?? ????, ???? ????? ??? ??? ???? ?? ?????? ?? ????????? ",,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,??? ?? ??? ?? ???? ?? ?????? ??????. ???? ???? 65 ?????. ?? ????? ????? ????? ?????? ????? ????? ?? ??????? ?????? ????. ??????? ?????? ?? ???? ???? ??? ????? ????. ??? ??? ????? ?? ???? ??????? ??????? ?????? ?????. ??????? ?? ??? ?? ????? ?? ?? ?? ??? ???? ????,1,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,???. ??? ?????? ???? ????? ?? ?? ?? FDA ????. ?????? ?????? ????? ???? ???? 65+ ???? ??????? ??????? ?????? ???. ????? ????? ?? ??? ???? ??????? ??????? ????? ??? ??????? ????? ????? ???? ????? ?? FDA? ???? ??? ????? ??? ?????? ??? ??? ?? ???? ????? ???? ?????. ???? ??????. ?? ??????. ????? ??? ????!!!,,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"???? ????? ???? . ???? 10000 ??????? ???? . ???? ????? ?????? ?????? ??????? , ?? ?????? ?? ?????? ????. ???? ?????? ????? ?????? ??? ????? , ??? ???? ?? ????? ????? ??? . ????? ??? ??? ????? ???? ???? ?????? . ??? ???? ??????? ??? ?? ??? ???? ??????? ?????? ?? ??????? ???? ??? ??? ?? ??? ???? ?? ???? ???????? ????? ????? ?? ?????? ???? ????? ??? ???? ??? ???? ?????? ??????. ???? ????? ?? ??????? ?? ???. ???? ????? ??? ?? ?? ????? . ?? ?? ?????? ???? ??? ??????? ??? ??? ????? ????? ??? ???? ????????. ?? ??? ???? ???? ????? ?????? . ??? ???? ????. ????? ??? ???? ????? ??? ?? ??? ???? ?? ?????? ?????? ?????? ??? ???? ??????? ???. ???? ?????.",,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,????? ????? ??? ??? ????? ?? ?????? ???????. ????? ? - FDA ????? ?? ?????? ??????. ???? ???? ?????. ??? ??? ???? ???????. ???? ??? ???? ???? ,0,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"?? ?????!!! ????? ??? ?????? ??? ???? ??????. ????? ??????? ?? ??? ?????? - ? FDA ???? ????? ?????, ?? ???? ???? ????? ????.",0,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"?????? ??????? ? FDA ????? ???? ???? ?????? ? 70 ???? ?????????? ??????? ?? ????????, ??????? ?????? ??? ???? ???? ???? (???? ??????????) ?????? ????? ??? ?????? ????? ??????. ?????? ???? ?? ????? ?????? ?????? ????? ?????? ????? ??????. 70 ???? ?? ???? ????? ????????? ?????? ?? ??? ???????? ????????. ?????? ?? ???? ??? ????? ??????, ?? ????? ????? ?? ????? ????? ???? ?????? ?????. ?????? ?????? ?????? ?????? ??? ??. ??? ???? ?????? ????? ???? ?? ????.",,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"??? ????. ???? ?????? ????? ????, ?????? ????? ???, ?? ????? ????? ???? ?? ????? ????? ????? ?? ?? ?? ???? ?????? ?? ????? ???? ???? ?? ?????? ?????.????? ???? ??",0,
18/09/2021,?????? ?????? ??????? ????? ???? ???,no,"?????? ???? ????? ???? ??????, ?????? ???? ???? ????? ????? ???????.",1,????? ???? ????? ??? ????? ???????? ?????
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"??? ???? ??? ?????? ??? 6 ????. ???? ??? ??????? ???? ??? ?? ????, ??????, ????? ?????? ??????. ?????? ????? ?????? ?? ????",1,????? ???? ????? ??? ????? ???????? ?????
13/09/2021,?????? ?????? ??????? ????? ???? ???,no,???? ???????? ????? ???????? ??????? ??????,0,"???? ??? ????? ????, ???? ????"
