Date Posted,Link,Text,Region,Username,Publisher,Binary Label,clean_text
02/11/2020,https://twitter.com/the_hindu/status/1227259621644984320,Just in: Novel coronavirus named 'Covid-19': UN health agency. (AFP),India,the_hindu,The Hindu,1,just in novel corona name corona un health agency afp
02/12/2020,https://twitter.com/ndtv/status/1227490843474268160,"WHO officially names #coronavirus as Covid-19.
 https://www.ndtv.com/health/who-officially-names-coronavirus-as-covid-19-here-are-some-details-to-note-2178918 
#CoronavirusOutbreak pic.twitter.com/YOGoY99ZXI",India,ndtv,NDTV,1,who officially name corona as corona coronaoutbreak
02/12/2020,https://twitter.com/the_hindu/status/1227444718243602432,"The #UN #health agency announced that ""COVID-19"" will be the official name of the deadly #virus from #China
#coronavirus http://bit.ly/2Hihnbj ",India,the_hindu,The Hindu,1,the un health agency announce that corona will be the official name of the deadly virus from china corona httpbitly2hihnbj
2/14/20,https://twitter.com/IndiaToday/status/1228276449536172034,"The Indian Embassy in Tokyo has said that one more Indian crew member on Diamond Princess has tested positive for Covid-19.

 https://www.indiatoday.in/india/story/third-indian-aboard-japanese-ship-tests-positive-for-coronavirus-1646514-2020-02-14 ",India,indiatoday,IndiaToday,1,the indian embassy in tokyo have say that one more indian crew member on diamond princess have test positive for corona
2/15/20,https://twitter.com/the_hindu/status/1228542473984790529,"Ground Zero | How Kerala used its experience in controlling the 2018 Nipah virus outbreak to prepare for a potential COVID-19 spread 

#coronavirus #Kerala #China https://trib.al/zpJxXjH ",India,the_hindu,The Hindu,1,grind zero | how kerala use its experience in control the 2018 nipah virus outbreak to prepare for a potential corona spread corona kerala china
2/15/20,https://twitter.com/the_hindu/status/1228657741784375300,"An elderly Chinese tourist hospitalised in France has died of the #coronavirus (COVID-19), becoming the first fatality in Europe, French Health Minister Agnes Buzyn said.
 https://trib.al/maHJZC0 ",India,the_hindu,The Hindu,1,an elderly chinese tourist hospitalise in france have die of the corona corona become the first fatality in europe french health minister agnes buzyn say
2/16/20,https://twitter.com/IndiaToday/status/1229029304157138945,"The total number of people infected with COVID-19 on the ship rose to 355 on Sunday.
 https://www.indiatoday.in/india/story/two-more-indians-on-board-cruise-ship-off-japanese-coast-test-positive-for-coronavirus-1647052-2020-02-16 ",India,indiatoday,IndiaToday,1,the total number of people infect with corona on the ship rise to 355 on sunday
2/16/20,https://twitter.com/IndiaToday/status/1229078485714386950,"COVID-19 coronavirus Updates: Africa has its first confirmed case, a person in Egypt tested positive. #DIU pic.twitter.com/UuMB8nCMI2",India,indiatoday,IndiaToday,1,corona corona update africa have its first confirm case a person in egypt test positive diu
2/17/20,https://twitter.com/IndiaToday/status/1229254123226193920,"Covid-19 Updates: #Kerala defeats #Coronavirus, all three cases have recovered.
#DIU pic.twitter.com/gvSbUuKkRR",India,indiatoday,IndiaToday,1,corona update kerala defeat corona all three case have recover diu
2/18/20,https://twitter.com/the_hindu/status/1229694542414217217,"#Coronavirus | #LiuZhiming, the head of a leading hospital in China's central city of #Wuhan, is the second prominent Chinese doctor to have succumbed to COVID-19.
 http://bit.ly/37BxSdp ",India,the_hindu,The Hindu,1,corona | liuzhiming the head of a lead hospital in chinas central city of wuhan be the second prominent chinese doctor to have succumb to corona httpbitly37bxsdp
